Block Name,Row ID,N,Time,avg(VonMises),avg(X),avg(Y),avg(Z),avg(dx),avg(dy),avg(dz),avg(e11),avg(e12),avg(e22),avg(e23),avg(e31),avg(e33),avg(lambda),avg(s11),avg(s12),avg(s22),avg(s23),avg(s31),avg(s33),avg(vtkOriginalPointIds),max(VonMises),max(X),max(Y),max(Z),max(dx),max(dy),max(dz),max(e11),max(e12),max(e22),max(e23),max(e31),max(e33),max(lambda),max(s11),max(s12),max(s22),max(s23),max(s31),max(s33),max(vtkOriginalPointIds),med(VonMises),med(X),med(Y),med(Z),med(dx),med(dy),med(dz),med(e11),med(e12),med(e22),med(e23),med(e31),med(e33),med(lambda),med(s11),med(s12),med(s22),med(s23),med(s31),med(s33),med(vtkOriginalPointIds),min(VonMises),min(X),min(Y),min(Z),min(dx),min(dy),min(dz),min(e11),min(e12),min(e22),min(e23),min(e31),min(e33),min(lambda),min(s11),min(s12),min(s22),min(s23),min(s31),min(s33),min(vtkOriginalPointIds),q1(VonMises),q1(X),q1(Y),q1(Z),q1(dx),q1(dy),q1(dz),q1(e11),q1(e12),q1(e22),q1(e23),q1(e31),q1(e33),q1(lambda),q1(s11),q1(s12),q1(s22),q1(s23),q1(s31),q1(s33),q1(vtkOriginalPointIds),q3(VonMises),q3(X),q3(Y),q3(Z),q3(dx),q3(dy),q3(dz),q3(e11),q3(e12),q3(e22),q3(e23),q3(e31),q3(e33),q3(lambda),q3(s11),q3(s12),q3(s22),q3(s23),q3(s31),q3(s33),q3(vtkOriginalPointIds),std(VonMises),std(X),std(Y),std(Z),std(dx),std(dy),std(dz),std(e11),std(e12),std(e22),std(e23),std(e31),std(e33),std(lambda),std(s11),std(s12),std(s22),std(s23),std(s31),std(s33),std(vtkOriginalPointIds),vtkValidPointMask
stats,0,1,0.01,11.0775,0.25,-0.25,0.0735,-8.20253e-06,9.03742e-05,7.23535e-15,-2.49917e-05,-6.96154e-06,0.000162306,-2.57005e-15,5.76615e-15,-5.77408e-05,0,1.86784,-0.187426,11.9531,-6.91937e-11,1.55242e-10,0.104425,878,11.0775,0.25,-0.25,0.0735,-8.20253e-06,9.03742e-05,7.23535e-15,-2.49917e-05,-6.96154e-06,0.000162306,-2.57005e-15,5.76615e-15,-5.77408e-05,0,1.86784,-0.187426,11.9531,-6.91937e-11,1.55242e-10,0.104425,878,11.0775,0.25,-0.25,0.0735,-8.20253e-06,9.03742e-05,7.23535e-15,-2.49917e-05,-6.96154e-06,0.000162306,-2.57005e-15,5.76615e-15,-5.77408e-05,0,1.86784,-0.187426,11.9531,-6.91937e-11,1.55242e-10,0.104425,878,11.0775,0.25,-0.25,0.0735,-8.20253e-06,9.03742e-05,7.23535e-15,-2.49917e-05,-6.96154e-06,0.000162306,-2.57005e-15,5.76615e-15,-5.77408e-05,0,1.86784,-0.187426,11.9531,-6.91937e-11,1.55242e-10,0.104425,878,11.0775,0.25,-0.25,0.0735,-8.20253e-06,9.03742e-05,7.23535e-15,-2.49917e-05,-6.96154e-06,0.000162306,-2.57005e-15,5.76615e-15,-5.77408e-05,0,1.86784,-0.187426,11.9531,-6.91937e-11,1.55242e-10,0.104425,878,11.0775,0.25,-0.25,0.0735,-8.20253e-06,9.03742e-05,7.23535e-15,-2.49917e-05,-6.96154e-06,0.000162306,-2.57005e-15,5.76615e-15,-5.77408e-05,0,1.86784,-0.187426,11.9531,-6.91937e-11,1.55242e-10,0.104425,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,1,1,0.02,22.1551,0.25,-0.25,0.0735,-1.64051e-05,0.000180748,1.58606e-14,-4.99834e-05,-1.39231e-05,0.000324612,-5.09926e-15,1.15374e-14,-0.000115482,0,3.73567,-0.374852,23.9062,-1.37288e-10,3.10622e-10,0.208851,878,22.1551,0.25,-0.25,0.0735,-1.64051e-05,0.000180748,1.58606e-14,-4.99834e-05,-1.39231e-05,0.000324612,-5.09926e-15,1.15374e-14,-0.000115482,0,3.73567,-0.374852,23.9062,-1.37288e-10,3.10622e-10,0.208851,878,22.1551,0.25,-0.25,0.0735,-1.64051e-05,0.000180748,1.58606e-14,-4.99834e-05,-1.39231e-05,0.000324612,-5.09926e-15,1.15374e-14,-0.000115482,0,3.73567,-0.374852,23.9062,-1.37288e-10,3.10622e-10,0.208851,878,22.1551,0.25,-0.25,0.0735,-1.64051e-05,0.000180748,1.58606e-14,-4.99834e-05,-1.39231e-05,0.000324612,-5.09926e-15,1.15374e-14,-0.000115482,0,3.73567,-0.374852,23.9062,-1.37288e-10,3.10622e-10,0.208851,878,22.1551,0.25,-0.25,0.0735,-1.64051e-05,0.000180748,1.58606e-14,-4.99834e-05,-1.39231e-05,0.000324612,-5.09926e-15,1.15374e-14,-0.000115482,0,3.73567,-0.374852,23.9062,-1.37288e-10,3.10622e-10,0.208851,878,22.1551,0.25,-0.25,0.0735,-1.64051e-05,0.000180748,1.58606e-14,-4.99834e-05,-1.39231e-05,0.000324612,-5.09926e-15,1.15374e-14,-0.000115482,0,3.73567,-0.374852,23.9062,-1.37288e-10,3.10622e-10,0.208851,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,2,1,0.03,33.2326,0.25,-0.25,0.0735,-2.46076e-05,0.000271123,2.44697e-14,-7.49751e-05,-2.08846e-05,0.000486918,-7.6293e-15,1.73085e-14,-0.000173222,0,5.60351,-0.562278,35.8593,-2.05404e-10,4.65999e-10,0.313276,878,33.2326,0.25,-0.25,0.0735,-2.46076e-05,0.000271123,2.44697e-14,-7.49751e-05,-2.08846e-05,0.000486918,-7.6293e-15,1.73085e-14,-0.000173222,0,5.60351,-0.562278,35.8593,-2.05404e-10,4.65999e-10,0.313276,878,33.2326,0.25,-0.25,0.0735,-2.46076e-05,0.000271123,2.44697e-14,-7.49751e-05,-2.08846e-05,0.000486918,-7.6293e-15,1.73085e-14,-0.000173222,0,5.60351,-0.562278,35.8593,-2.05404e-10,4.65999e-10,0.313276,878,33.2326,0.25,-0.25,0.0735,-2.46076e-05,0.000271123,2.44697e-14,-7.49751e-05,-2.08846e-05,0.000486918,-7.6293e-15,1.73085e-14,-0.000173222,0,5.60351,-0.562278,35.8593,-2.05404e-10,4.65999e-10,0.313276,878,33.2326,0.25,-0.25,0.0735,-2.46076e-05,0.000271123,2.44697e-14,-7.49751e-05,-2.08846e-05,0.000486918,-7.6293e-15,1.73085e-14,-0.000173222,0,5.60351,-0.562278,35.8593,-2.05404e-10,4.65999e-10,0.313276,878,33.2326,0.25,-0.25,0.0735,-2.46076e-05,0.000271123,2.44697e-14,-7.49751e-05,-2.08846e-05,0.000486918,-7.6293e-15,1.73085e-14,-0.000173222,0,5.60351,-0.562278,35.8593,-2.05404e-10,4.65999e-10,0.313276,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,3,1,0.04,44.3101,0.25,-0.25,0.0735,-3.28101e-05,0.000361497,3.31028e-14,-9.99668e-05,-2.78461e-05,0.000649224,-1.01587e-14,2.30803e-14,-0.000230963,0,7.47134,-0.749704,47.8124,-2.73502e-10,6.21392e-10,0.417702,878,44.3101,0.25,-0.25,0.0735,-3.28101e-05,0.000361497,3.31028e-14,-9.99668e-05,-2.78461e-05,0.000649224,-1.01587e-14,2.30803e-14,-0.000230963,0,7.47134,-0.749704,47.8124,-2.73502e-10,6.21392e-10,0.417702,878,44.3101,0.25,-0.25,0.0735,-3.28101e-05,0.000361497,3.31028e-14,-9.99668e-05,-2.78461e-05,0.000649224,-1.01587e-14,2.30803e-14,-0.000230963,0,7.47134,-0.749704,47.8124,-2.73502e-10,6.21392e-10,0.417702,878,44.3101,0.25,-0.25,0.0735,-3.28101e-05,0.000361497,3.31028e-14,-9.99668e-05,-2.78461e-05,0.000649224,-1.01587e-14,2.30803e-14,-0.000230963,0,7.47134,-0.749704,47.8124,-2.73502e-10,6.21392e-10,0.417702,878,44.3101,0.25,-0.25,0.0735,-3.28101e-05,0.000361497,3.31028e-14,-9.99668e-05,-2.78461e-05,0.000649224,-1.01587e-14,2.30803e-14,-0.000230963,0,7.47134,-0.749704,47.8124,-2.73502e-10,6.21392e-10,0.417702,878,44.3101,0.25,-0.25,0.0735,-3.28101e-05,0.000361497,3.31028e-14,-9.99668e-05,-2.78461e-05,0.000649224,-1.01587e-14,2.30803e-14,-0.000230963,0,7.47134,-0.749704,47.8124,-2.73502e-10,6.21392e-10,0.417702,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,4,1,0.05,55.3877,0.25,-0.25,0.0735,-4.10127e-05,0.000451871,4.16838e-14,-0.000124959,-3.48077e-05,0.00081153,-1.26881e-14,2.88512e-14,-0.000288704,0,9.33918,-0.93713,59.7655,-3.41603e-10,7.76764e-10,0.522127,878,55.3877,0.25,-0.25,0.0735,-4.10127e-05,0.000451871,4.16838e-14,-0.000124959,-3.48077e-05,0.00081153,-1.26881e-14,2.88512e-14,-0.000288704,0,9.33918,-0.93713,59.7655,-3.41603e-10,7.76764e-10,0.522127,878,55.3877,0.25,-0.25,0.0735,-4.10127e-05,0.000451871,4.16838e-14,-0.000124959,-3.48077e-05,0.00081153,-1.26881e-14,2.88512e-14,-0.000288704,0,9.33918,-0.93713,59.7655,-3.41603e-10,7.76764e-10,0.522127,878,55.3877,0.25,-0.25,0.0735,-4.10127e-05,0.000451871,4.16838e-14,-0.000124959,-3.48077e-05,0.00081153,-1.26881e-14,2.88512e-14,-0.000288704,0,9.33918,-0.93713,59.7655,-3.41603e-10,7.76764e-10,0.522127,878,55.3877,0.25,-0.25,0.0735,-4.10127e-05,0.000451871,4.16838e-14,-0.000124959,-3.48077e-05,0.00081153,-1.26881e-14,2.88512e-14,-0.000288704,0,9.33918,-0.93713,59.7655,-3.41603e-10,7.76764e-10,0.522127,878,55.3877,0.25,-0.25,0.0735,-4.10127e-05,0.000451871,4.16838e-14,-0.000124959,-3.48077e-05,0.00081153,-1.26881e-14,2.88512e-14,-0.000288704,0,9.33918,-0.93713,59.7655,-3.41603e-10,7.76764e-10,0.522127,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,5,1,0.06,66.4652,0.25,-0.25,0.0735,-4.92152e-05,0.000542245,5.02624e-14,-0.00014995,-4.17692e-05,0.000973835,-1.52172e-14,3.46227e-14,-0.000346445,0,11.207,-1.12456,71.7185,-4.09694e-10,9.3215e-10,0.626553,878,66.4652,0.25,-0.25,0.0735,-4.92152e-05,0.000542245,5.02624e-14,-0.00014995,-4.17692e-05,0.000973835,-1.52172e-14,3.46227e-14,-0.000346445,0,11.207,-1.12456,71.7185,-4.09694e-10,9.3215e-10,0.626553,878,66.4652,0.25,-0.25,0.0735,-4.92152e-05,0.000542245,5.02624e-14,-0.00014995,-4.17692e-05,0.000973835,-1.52172e-14,3.46227e-14,-0.000346445,0,11.207,-1.12456,71.7185,-4.09694e-10,9.3215e-10,0.626553,878,66.4652,0.25,-0.25,0.0735,-4.92152e-05,0.000542245,5.02624e-14,-0.00014995,-4.17692e-05,0.000973835,-1.52172e-14,3.46227e-14,-0.000346445,0,11.207,-1.12456,71.7185,-4.09694e-10,9.3215e-10,0.626553,878,66.4652,0.25,-0.25,0.0735,-4.92152e-05,0.000542245,5.02624e-14,-0.00014995,-4.17692e-05,0.000973835,-1.52172e-14,3.46227e-14,-0.000346445,0,11.207,-1.12456,71.7185,-4.09694e-10,9.3215e-10,0.626553,878,66.4652,0.25,-0.25,0.0735,-4.92152e-05,0.000542245,5.02624e-14,-0.00014995,-4.17692e-05,0.000973835,-1.52172e-14,3.46227e-14,-0.000346445,0,11.207,-1.12456,71.7185,-4.09694e-10,9.3215e-10,0.626553,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,6,1,0.07,77.5428,0.25,-0.25,0.0735,-5.74177e-05,0.000632619,5.88349e-14,-0.000174942,-4.87308e-05,0.00113614,-1.77449e-14,4.03941e-14,-0.000404185,0,13.0749,-1.31198,83.6716,-4.77748e-10,1.08753e-09,0.730978,878,77.5428,0.25,-0.25,0.0735,-5.74177e-05,0.000632619,5.88349e-14,-0.000174942,-4.87308e-05,0.00113614,-1.77449e-14,4.03941e-14,-0.000404185,0,13.0749,-1.31198,83.6716,-4.77748e-10,1.08753e-09,0.730978,878,77.5428,0.25,-0.25,0.0735,-5.74177e-05,0.000632619,5.88349e-14,-0.000174942,-4.87308e-05,0.00113614,-1.77449e-14,4.03941e-14,-0.000404185,0,13.0749,-1.31198,83.6716,-4.77748e-10,1.08753e-09,0.730978,878,77.5428,0.25,-0.25,0.0735,-5.74177e-05,0.000632619,5.88349e-14,-0.000174942,-4.87308e-05,0.00113614,-1.77449e-14,4.03941e-14,-0.000404185,0,13.0749,-1.31198,83.6716,-4.77748e-10,1.08753e-09,0.730978,878,77.5428,0.25,-0.25,0.0735,-5.74177e-05,0.000632619,5.88349e-14,-0.000174942,-4.87308e-05,0.00113614,-1.77449e-14,4.03941e-14,-0.000404185,0,13.0749,-1.31198,83.6716,-4.77748e-10,1.08753e-09,0.730978,878,77.5428,0.25,-0.25,0.0735,-5.74177e-05,0.000632619,5.88349e-14,-0.000174942,-4.87308e-05,0.00113614,-1.77449e-14,4.03941e-14,-0.000404185,0,13.0749,-1.31198,83.6716,-4.77748e-10,1.08753e-09,0.730978,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,7,1,0.08,88.6203,0.25,-0.25,0.0735,-6.56203e-05,0.000722994,6.74258e-14,-0.000199934,-5.56923e-05,0.00129845,-2.02763e-14,4.61653e-14,-0.000461926,0,14.9427,-1.49941,95.6247,-5.459e-10,1.24291e-09,0.835404,878,88.6203,0.25,-0.25,0.0735,-6.56203e-05,0.000722994,6.74258e-14,-0.000199934,-5.56923e-05,0.00129845,-2.02763e-14,4.61653e-14,-0.000461926,0,14.9427,-1.49941,95.6247,-5.459e-10,1.24291e-09,0.835404,878,88.6203,0.25,-0.25,0.0735,-6.56203e-05,0.000722994,6.74258e-14,-0.000199934,-5.56923e-05,0.00129845,-2.02763e-14,4.61653e-14,-0.000461926,0,14.9427,-1.49941,95.6247,-5.459e-10,1.24291e-09,0.835404,878,88.6203,0.25,-0.25,0.0735,-6.56203e-05,0.000722994,6.74258e-14,-0.000199934,-5.56923e-05,0.00129845,-2.02763e-14,4.61653e-14,-0.000461926,0,14.9427,-1.49941,95.6247,-5.459e-10,1.24291e-09,0.835404,878,88.6203,0.25,-0.25,0.0735,-6.56203e-05,0.000722994,6.74258e-14,-0.000199934,-5.56923e-05,0.00129845,-2.02763e-14,4.61653e-14,-0.000461926,0,14.9427,-1.49941,95.6247,-5.459e-10,1.24291e-09,0.835404,878,88.6203,0.25,-0.25,0.0735,-6.56203e-05,0.000722994,6.74258e-14,-0.000199934,-5.56923e-05,0.00129845,-2.02763e-14,4.61653e-14,-0.000461926,0,14.9427,-1.49941,95.6247,-5.459e-10,1.24291e-09,0.835404,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,8,1,0.09,99.6978,0.25,-0.25,0.0735,-7.38228e-05,0.000813368,7.6039e-14,-0.000224925,-6.26538e-05,0.00146075,-2.28079e-14,5.19363e-14,-0.000519667,0,16.8105,-1.68683,107.578,-6.14059e-10,1.39828e-09,0.939829,878,99.6978,0.25,-0.25,0.0735,-7.38228e-05,0.000813368,7.6039e-14,-0.000224925,-6.26538e-05,0.00146075,-2.28079e-14,5.19363e-14,-0.000519667,0,16.8105,-1.68683,107.578,-6.14059e-10,1.39828e-09,0.939829,878,99.6978,0.25,-0.25,0.0735,-7.38228e-05,0.000813368,7.6039e-14,-0.000224925,-6.26538e-05,0.00146075,-2.28079e-14,5.19363e-14,-0.000519667,0,16.8105,-1.68683,107.578,-6.14059e-10,1.39828e-09,0.939829,878,99.6978,0.25,-0.25,0.0735,-7.38228e-05,0.000813368,7.6039e-14,-0.000224925,-6.26538e-05,0.00146075,-2.28079e-14,5.19363e-14,-0.000519667,0,16.8105,-1.68683,107.578,-6.14059e-10,1.39828e-09,0.939829,878,99.6978,0.25,-0.25,0.0735,-7.38228e-05,0.000813368,7.6039e-14,-0.000224925,-6.26538e-05,0.00146075,-2.28079e-14,5.19363e-14,-0.000519667,0,16.8105,-1.68683,107.578,-6.14059e-10,1.39828e-09,0.939829,878,99.6978,0.25,-0.25,0.0735,-7.38228e-05,0.000813368,7.6039e-14,-0.000224925,-6.26538e-05,0.00146075,-2.28079e-14,5.19363e-14,-0.000519667,0,16.8105,-1.68683,107.578,-6.14059e-10,1.39828e-09,0.939829,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,9,1,0.1,110.775,0.25,-0.25,0.0735,-8.20253e-05,0.000903742,8.46611e-14,-0.000249917,-6.96154e-05,0.00162306,-2.53367e-14,5.77075e-14,-0.000577408,0,18.6784,-1.87426,119.531,-6.82142e-10,1.55366e-09,1.04425,878,110.775,0.25,-0.25,0.0735,-8.20253e-05,0.000903742,8.46611e-14,-0.000249917,-6.96154e-05,0.00162306,-2.53367e-14,5.77075e-14,-0.000577408,0,18.6784,-1.87426,119.531,-6.82142e-10,1.55366e-09,1.04425,878,110.775,0.25,-0.25,0.0735,-8.20253e-05,0.000903742,8.46611e-14,-0.000249917,-6.96154e-05,0.00162306,-2.53367e-14,5.77075e-14,-0.000577408,0,18.6784,-1.87426,119.531,-6.82142e-10,1.55366e-09,1.04425,878,110.775,0.25,-0.25,0.0735,-8.20253e-05,0.000903742,8.46611e-14,-0.000249917,-6.96154e-05,0.00162306,-2.53367e-14,5.77075e-14,-0.000577408,0,18.6784,-1.87426,119.531,-6.82142e-10,1.55366e-09,1.04425,878,110.775,0.25,-0.25,0.0735,-8.20253e-05,0.000903742,8.46611e-14,-0.000249917,-6.96154e-05,0.00162306,-2.53367e-14,5.77075e-14,-0.000577408,0,18.6784,-1.87426,119.531,-6.82142e-10,1.55366e-09,1.04425,878,110.775,0.25,-0.25,0.0735,-8.20253e-05,0.000903742,8.46611e-14,-0.000249917,-6.96154e-05,0.00162306,-2.53367e-14,5.77075e-14,-0.000577408,0,18.6784,-1.87426,119.531,-6.82142e-10,1.55366e-09,1.04425,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
